drug_id,fda,fda_altname,anxiety,anxiety_altname
torin-1,Lapatinib,"GSK-572016,GW-2016,GW572016,GW-572016,GW572016F,GW-572016F,GW-572016X,Lapatinib,Lapatinib Ditoluenesulfonate Monohydrate,Lapatinib Ditosylate,Lapatinib Ditosylate Monohydrate,Lapatinib (gw-572016) ditosylate,Lapatinib Tosilate Hydrate,Tykerb,Tyverb",,
s1122,Vemurafenib,"PLX4032,PLX-4032,RG-7204,RO-5185426,RO-51-85426,Vemurafenib,Vemurafenib (plx4032\, rg7204),Zelboraf",,
hydroquinidine,Palbociclib,"Ibrance,Palbociclib,Palbociclib Isethionate,Palbociclib (pd-0332991) HCL,PD0332991,PD-0332991,PD-03329910054,PD-0332991-0054,PF-0008066573",,
y-26763,Erlotinib,"CP-358,CP-358774,CP-358\,774,CP-35877401,CP-358774-01,Erlotinib,Erlotinib HCl,Erlotinib hcl (osi-744),OSI-774,R-1415,RG-1415,RO-508231,Tarceva",,
gw 6471,Gefitinib,"Gefitinib,Iressa,ZD1839,ZD-1839",,
mls-0437446.0001,Nilotinib,"AMN107,AMN-107,Nilotinib,NILOTINIB (AMN-107),Nilotinib Hydrochloride,Nilotinib Hydrochloride Hydrate,Nilotinib Hydrochloride Monohydrate,Tasigna",,
resveratrol,Pazopanib,"GW786034,GW786034B,GW-786034B,Pazopanib,Pazopanib HCl,Pazopanib Hydrochloride,Votrient",,
xylazine,Sasapyrine,"Disalcid,NSC-49171,Salicylsalicylic acid,Salsalate,Sasapyrine",,
BRD-K93760529,FAMPRIDINE,"Ampyra,Ampyra Extended Release,Dalfampridine,EL-970,Fampridine,Fampyra,Neurelan,NSC-15041",,
BRD-K32927008,Emtricitabine,"524W91,524-W-91,BW-524W91,Emtricitabine,Emtriva,Ftc,(-)-FTC,FTC-(-)",,
BRD-K98173387,KPT-330,"KPT-330,Selinexor,Xpovio",,
kuc103428n,Zileuton,"A-64077,ABBOTT-64077,Zileuton,Zyflo,Zyflo CR",,
dm163 brd-k06180729,Pramipexole,"Mirapex,Mirapex ER,Mirapex Extended Release,Mirapexin,Neliprax,Oprymea,Pipexus,PNU-98528E,Pramipexole,Pramipexole Dihydrochloride,Pramipexole Dihydrochloride Anhydrous,Pramipexole Dihydrochloride Monohydrate,Pramipexole HCl,Pramipexole Hydrochloride Hydrate,SND919CL2Y,SND-919CL2Y,SUD-919CL2Y,U-98528E",,
purmorphamine,Sulfaphenazole,"Orisulf,Sulfabid,Sulfafenazol,Sulfaphenazole,Sulphaphenazole",,
BRD-K19885561,Sulfamethazine,"SMZ-MED 454,Sulfadimidine,Sulfamethazine,Sulfamethazine Sodium Salt,Sulfamethazine (Trisulfapyrimidines),Sulfamezathine ('S-Mez')",,
PF-3758309,Acetazolamide,"Acetazolamide,Acetazolamide Sodium,Diamox,Diamox SR,Eytazox,L 579486,NSC-145177",,
BRD-K85318537 (obaa),Aprepitant,Emend,,
cam-9-026 brd-k91442916,Monobenzone,"Benoquin,Monobenzone,Monobenzyl Ether Of Hydroquinone,P-Benzyloxyphenol",,
BRD-K81514393,Captopril,"Acepril,C09AA01,Capoten,Captomex,Captopril,Ecopace,HYTENEZE 12.5,HYTENEZE 25,HYTENEZE 50,Kaplon,Lopril,Noyada,SA-333,SQ -14225,SQ-14225,Tensobon",,
BRD-K94991378,Linezolid,"Linezolid,U-100766,Zyvox",,
BRD-K83048312,Aceclofenac,"Aceclofenac,Aceclofenac Betadex,Gerbin,Preservex",,
BRD-K22631935,Bromperidol,"Bromperidol,Impromen,R-11333",,
HG-5-113-01,Carbimazole,"Athyromazole,Carbimazole,NEO-MERCAZOLE 20,NEO-MERCAZOLE 5",,
BRD-K37372998,Zaleplon,"CL-284846,L846,L-846,LJC 10846,LJC-10846,SKP-1041,Sonata,ZAL-846,Zaleplon,Zaleplon CIV",,
BRD-K84450674,Didanosine,"2'\,3'-Dideoxyinosine",,
BRD-K57592392,Sulfameter,"AHR-857,Bayrena,Sulfameter,Sulfametin,Sulfametoxydiazine,Sulla,Sulphamethoxydiazine,Ultrax",,
"ym 298198, desmethyl-",Chlorpropamide,"94-20-2,Chlorpropamide,Diabemide,Diabinese,Glucamide,Glymese,Melitase",,
ag 494,Thioguanine,"Lanvis,NSC-752,NSC-76504,Tabloid,Thioguanine,Tioguanine,Tioguanine Hemihydrate",,
ei-273,Tivozanib,"ASP-4130,AV-951,Fotivda,KIL8951,KIL-8951,KRN-951,Tivozanib,TIVOZANIB (AV-951),Tivozanib HCl,Tivozanib Hydrochloride Monohydrate",,
fluvastatin,Sorafenib,"[11C]-Sorafenib,BAY-439006,BAY-43-9006,BAY-54-9085,Nexavar,Sorafenib,Sorafenib Tosilate,Sorafenib Tosylate",,
kuc104545n,Dasatinib,"BMS-354825,BMS-354825-03,BMS-354825 HYDRATE,Dasatinib,Dasatinib Hydrate,Dasatinib Monohydrate,Sprycel",,
ZSTK-474,Imatinib,"Gleevec,Glivec,Imatinib,IMATINIB (3524741),Imatinib Mesilate,Imatinib Mesylate,Imatinib Methanesulfonate,IMATINIB (STI571),STI571,STI-571",,
morantel tartrate,Crizotinib,"Crizotinib,Crizotinib (pf-02341066),PF02341066,PF-02341066,PF-2341066,Xalkori",,
cefotaxime sodium salt,Trametinib,"GSK1120212,GSK-1120212,GSK1120212B,GSK-1120212B,JTP 74057,JTP-74057,Mekinist,Trametinib,Trametinib Dimethyl Sulfoxide",,
KIN001-220,Olaparib,"AZ2281,AZ-2281,AZD2281,AZD-2281,AZD2281 (KU59436),AZD2281(OLAPARIB),Keylynk-010 component olaparib,KU-0059436,KU-59436,Lynparza,Olaparib,Olaparib (azd2281\, ku-0059436),Olaparib component of keylynk-010",,
ncgc00238427-01,Ponatinib,"AP24534,AP-24534,AP-24534 HCL,Iclusig,Ponatinib,Ponatinib HCl",,
tas 301,Bosutinib,"Bosulif,Bosutinib,Bosutinib Monohydrate,BOSUTINIB (SKI-606),SK-606,SKI-606",,
mls-0412114.0001,Cabozantinib,"BMS-907351,Cabometyx,Cabozantinib,Cabozantinib S-Malate,Cabozantinib (xl184\, bms-907351),Cometriq,XL-184,XL-184 FREE BASE",,
HY-11007,Vandetanib,"Caprelsa,GNF-PF-2188,TCMDC-123476,Vandetanib,VANDETANIB (ZD6474),Zactima,ZD-64,ZD-6474",,
ncgc00012588-02,Alectinib,"AF-802,Alecensa,Alectinib,ALECTINIB (CH5424802),Alectinib Hydrochloride,CH5424802,CH-5424802,RO5424802,RO-5424802",,
BRD-K85853281,Idelalisib,"CAL101,CAL-101,CAL-101 (IDELALISIB\, GS-1101),GS-1101,GS-11CAL-101,Idelalisib,Zydelig",,
BRD-K12168891,Regorafenib,"BAY-734506,BAY-73-4506,BAY-734506 MONOHYDRATE,Regorafenib,Regorafenib (bay 73-4506),Stivarga",,
BI-2536,Tofacitinib,"CP690550,CP-690550-10,CP-690-550,CP- 690 550,Tasocitinib,Xeljanz,CP 690550,CP690\,550,CP-690\,550,Tofacitinib Citrate,550,CP-690\,550 FREE BASE,CP-690550,Tofacitinib,Xeljanz XR,CP-690,CP-690\,550-10,Tasocitinib Citrate,Tofacitinib Monocitrate,CP-690550 FREE BASE",,
buparlisib,Biperiden,"Akineton,Akineton RET,Biperiden,Biperiden HCl,Biperiden Lactate,KL 373,NSC-170950,NSC-84989",,
ALW-II-38-3,Salmeterol,"Beglan,GR-33343 G,GR-33343-G,GR-33343X,GR-33343-X,LIPO-202,Neovent,Salmaterol,Salmeterol,Salmeterol 1-hydroxy-2-naphthoate,Salmeterol Xinafoate,Serevent,SN408D,Soltel,Vertine",,
gm6001,Nitrendipine,"BAY-E-5009,Baypress,Nitrendipine",,
MK-2206,Terfenadine,"Antihistamine,Histafen,HISTAFEN 120,RMI-9918,Seldane,Terfenadine,Terfenor,Terfenor FTE,Terfex,TERFINAX 120,TERFINAX 60,Triludan,Triludan FTE",,
BRD-K65242613,Labetalol,"AH-5158A,AH-5158A FREE BASE,AH-5158A HYDROCHLORIDE,Labetalol,Labetalol HCl,Labetalol Hydrochloride,Labetalol Hydrocloride,Labrocol,Normodyne,Normozide,NSC-290312,SCH-15719W,SCH-15719W FREE BASE,SCH-15719W HYDROCHLORIDE,Trandate",,
"aminopurine, 6-benzyl",Racecadotril,"Glycine\, n-[2-[(acetylthio)methyl]-1-oxo-3-phenylpropyl]-\,phenylmethyl ester [cas],Hidrasec,Racecadotril",,
s1043,Alfuzosin,"Alfluzosin,Alfutral SR,Alfuzosin,Alfuzosin HCl,Alfuzosin Hydrochloride,Benestan,Benestan RET,Besavar XL,Fuzatal XL,Kelanu XL,SL-7749910,SL-77-499-10,SL-77499-10,Urion S,Uroxatral,Vasran XL,Xatral,Xatral SR,Zufal XL",,
s1260,Mebeverine,"Colofac,COLOFAC 100,Colofac IBS,Colofac MR,CSAG-144,Fomac,Mebeverine,Mebeverine HCl,Mebeverine Hydrochloride",,
linifanib,Flecainide,"Flecainide,Flecainide Acetate,Flecainide Monoacetate,Tambocor,THN-102 COMPONENT FLECAINIDE",,
SB-525334,Verapamil,"Verapamil,Benzeneacetonitrile\, alpha-[3-[[2-(3\,4-dimethoxyphenyl)ethyl]methylamino]propyl]-3\,4-dimethoxy-alpha-(1-methylethyl)-\, (r)- [cas],Univer,Verapamil HCl,Zolvera,[11C]-Verapamil,CORDILOX MR 240,Securon SR,Covera-HS,Securon IV,Verelan PM,Calan SR,Ranvera MR,Verapamil?Hcl,Vera-Til SR,Cordilox I.V.,Calan,Iproveratril,Isoptin,Verapamil Hydrochloride,LU-20175,Half Securon SR,NSC-657799,Tarka,NSC-272366,Covera,Cordilox,Berkatens,ETHIMIL MR 240,Securon MID,VERTAB SR 240,D-365,NSC-272306NA,CP-16533-1,Verelan,Isoptin SR,Securon,Geangin,CP-165331,Manidon SR,VERAPRESS MR 240",,
u-74389g,Carvedilol,"Carvedilol Phosphate Hemihydrate,BM-14.190,Carvedilol,SKF-105517D,Carvedilol Phosphate,SKF 105517D,Coreg CR,Carvedilol Phosphate Hydrate,Coreg,DQ-2466,EUCARDIC 6.25,BM-14-190,EUCARDIC 25,EUCARDIC 12.5,EUCARDIC 3.125,C07AG02,BM-14190,SK&F-105517-D,SKF-105517,BM 14.190",,
mefexamide hydrochloride,Mesoridazine,"Lidanar,Mesoridazine,Mesoridazine Besylate,NC-123,Serentil,TPS-23",,
BRD-A49848186,Ethopropazine,"Ethopropazine,Ethopropazine HCl,Ethopropazine Hydrochloride,Parsidol,Profenamine,Profenamine HCl,Profenamine Hibenzate,Prophenamine HCl",,
BRD-K24014699,Armodafinil,"Armodafinil,CEP-10952,CEP-10953,CEP-1538,CRC-40476,CRL-40476,CRL-40982,DEP-1538,Modafinil,Modafinil CIV,Nuvigil,Provigil,(S)-Modafinil,THN-102 COMPONENT MODAFINIL,THN102 COMPONENT MODAFINIL",,
BRD-K79404599,Butoconazole,"Butoconazole,Butoconazole Nitrate,Femstat,FEMSTAT 3,Gynazole,GYNAZOLE-1,RS-35887,RS-35887-00-10-3",,
AZD-8330,Carprofen,"Carprofen,Rimadyl,RO-205720000",,
BRD-K85051645,Ibuprofen,"IP-82,NSC-256857,Children'S Ibuprofen,Codafen Continus,Fenpaed,Anadin Joint PAIN,Lobufen,Ibumetin,Inabrin,Ibuprin,Relcofen,Junior Strength Motrin,Medipren,Nuprin,Paxofen,Ibucalm,Cuprofen PLUS,Ibuprofen,Motrin IB,Fenbid FTE,Novaprin,Midol Liquid GELS,IBU-SLO,Nurofen Recovery,Inoven,Aches-N-PAIN,Ibutime,Advil Migraine Liqui-GELS,Ibuprohm,Feverfen,Anadin Period Pain Relief,Suspren,Ibuleve,Phorpain,ARTHROFEN 400,Fenbid,Anadin Liquifast,Nurofen Advance,Ibugel,Manorfen,Apsifen,Profen,Femafen,Lidifen,Ibuprofen Sodium,Junifen,Nurofen SOLB,Ibumed,Ibuprofen Lysine,Nurofen Child,Ibuspray,Advil Liqui-GELS,Brufen RET,Pacifene,Ibufac,Children'S Motrin,IBU-Tab,Children'S Advil-Flavored,Orbifen,ARTHROFEN 600,Cap-Profen,Lidifen-F,Midol,Cuprofen For Child,Neoprofen,Nurofen Sinus,Rufen,IB-100,RD 13621,Junior Strength Advil,Ibular,Tab-Profen,Nurofen For Child,Nurofen Max Strgth Mig PAIN,Proflex,IBU-TAB 200,Ibuprofen Lysinate,Deep Relief,Feminax Express,Proflex SR,Nurofen Tension Headache,Rimafen,Ibuderm,Junior Strength Ibuprofen,Isisfen,Motrin,Children'S Elixsure,Ebufac,Nurofen Back Pain SR,CO-Op,Nurofen Migraine PAIN,Fleximex,Pedea,Migrafen,ARTHROFEN 200,Advil,Phorpain Max Strgh,Phensic,U-18573,Mandafen,Seclodin,Ibumousse,Motrin Migraine PAIN,Apsifen-F,M01AE01,Nurofen PLUS,Phor PAIN,Ibugel FTE,Maxa-Gesic,Caldolor,Anadin Ultra,NUROFEN 400,Pediatric Advil,Children'S Advil",,
gw 311616 hydrochloride,Trimipramine,"7162 RP,7162-RP,IL-6001,Surmontil,Trimeproprimine,Trimipramine,Trimipramine Maleate,Trimipramine Maleate Salt",,
medroxyprogesterone,Ondansetron,"GR-38032F,Zofran,A04AA01,Demorem,Zofran ODT,Ondansetron Hydrochloride Dihydrate,NSC-665799,Zuplenz,Zofran Preservative FREE,Setofilm,Ondansetron,Ondansetron Hydrochloride Hydrate,Ondemet,Ondansetron HCl,Ondansetron Hydrochloride,SN 307,Desmethylondansetron,EUR-1025,GR-38032,SN-307",,
I-BET151,Praziquantel,"Biltricide,Cesol,Cestocur,Cisticid,Cysticide,Droncit,EMBAY-8440,Praziquantel",,
compound 58-88.8,Amlodipine,"Amlodipine,Amlodipine base,Amlodipine Benzenesulfonate,Amlodipine Besilate,Amlodipine Besylate,Amlodipine Besylate (Norvasc),Amlodipine Maleate,Amvaz,ASTUDAL 5,CKD-330 COMPONENT AMLODIPINE,HGP0904,HGP-0904,Istin,Norvas,Norvasc,UK-4834011,UK-48340-11,UK-4834026,UK-48340-26",,
veliparib,Pantoprazole,"BY-1023,Pantoloc Control,Pantoprazole,Pantoprazole Sodium,Pantoprazole Sodium Salt,Protium,Protium I.V.,Protonix,Protonix IV,SK-96022,SK&F-96022,SKF-96022",,
WZ-4002,Warfarin,"Athrombin,Athrombin-K,Coumadin,Jantoven,Marevan,NSC-59813,Panwarfin,Warfarin,Warfarin Potassium,Warfarin Sodium,Warfarin Sodium Salt",,
fu jmbii227b,Aminoglutethimide,"Aminoglutethimide,Cytadren,Glutethimide\, Para-Amino,Orimeten",,
ml 9 hydrochloride,Propafenone,"Arythmol,GNF-PF-4594,Propafenone,Propafenone HCl,Propafenone Hydrochloride,Rythmol,Rythmol SR,Rytmonorm",,
sb 203186 hydrochloride,Chlorthalidone,"Chlortalidone,Chlorthalidone,G-33182,Hygroton,NSC-69200,Thalitone",,
BRD-K00541156,Nicardipine,"Cardene,Cardene SR,Nicardipine,Nicardipine HCl,Nicardipine Hydrochloride,RS-69216,RS-69216-XX-07-0,RS-69216XX07-0,YC-93",,
tremulacin,Carbinoxamine,"Carbinoxamine,Carbinoxamine Maleate,Clistin,Davenol,Karbinal ER,Palgic",,
idarubicin hcl,Bicalutamide,"Bicalutamide,Bicalutamide(Casodex),Calutide,Casodex,Cosudex,ICI-176334,ICI176\,334-1,Kalumid",,
SB590885,Disopyramide,"Dirythmin,Dirythmin-SA,Disopyramide,Disopyramide Phosphate,H-3292,Isomide CR,Norpace,Norpace CR,Rythmodan RET,SC-13957,SC-7031,SC-7031 PHOSPHATE",,
ncgc00183406-01,Felodipine,"C08CA02,Cabren,Cardioplen XL,Felodipine,Felogen XL,Felotens XL,Folpik XL,H 154/82,H-154/82,Keloc SR,Neofel XL,Parmid XL,Pinefeld XL,Plendil,Preslow,Vascalpha",,
BRD-K21170640,Fluoxetine,"Felicium,Fluoxetine,Fluoxetine HCl,(?)-Fluoxetine hydrochloride,Fluoxetine Hydrochloride,LY110140,LY-110140,NSC-283480,Olena,Oxactin,Prozac,PROZAC 60,Prozac Weekly,Prozep,Prozit,Ranflutin,Sarafem,Selfemra,Symbyax",,
dihydrosamidin,Mitotane,"CB-313,Lysodren,Mitotane,NSC-38721,Opddd,O\,P'-DDD",,
ncgc00167098-01,Methocarbamol,"Delaxin,Forbaxin,Methocarbamol,Miolaxin,Neuraxin,NSC-170960,Robaxin,ROBAXIN-750",,
np-002383,Sotalol,"Beta-Cardone,Betapace,Betapace AF,C07AA07,DL-MJ-1999,MJ-1999,Sorine,Sotacor,Sotalex,Sotalol,Sotalol HCl,Sotalol Hydrochloride,Sotylize",,
BRD-U33728988,Suloctidil,"CP-556S,MJF-12637,Suloctidil",,
jte 013,Budesonide,"Pulmicort,Entocort EC,Pulmicort Flexhaler,Entocort,Pulmicort Respules,Budesonide,Cortiment,MAP-0010,Entocort CR,Rhinocort,Pulmaxan,RHINOCORT AQUA 64,Rhinocort Allergy,Ortikos,R01AD05,Rhinocort AQUA,Symbicort,Budenofalk,Duoresp Spiromax,Uceris,Preferid,MAP0010,Aircort,Budeflam Aquanase,Pulmicort L.S.,Budelin Novolizer,S-1320",,
ncgc00242553-01,Sulfinpyrazone,"Anturan,Anturane,Sulfinpyrazone,Sulphinpyrazone",,
BRD-K73945663,Iocetamic acid,"Cholebrine,Iocetamic acid,MP-620",,
BRD-K93176058,Chlorphenesin Carbamate,"Chlorphenesin,Chlorphenesin Carbamate,Chlorphensin Carbamate,Maolate,U-19646",,
amuvatinib,Ketorolac,"Acular,Acular LS,Acular Preservative FREE,Acuvail,Ketorolac,Ketorolac Tromethamine,Sprix,Toradol",,
tivantinib,Cyclopenthiazide,"Cyclopenthiazide,Navidrex,SU-8341",,
CYT387,Practolol,"[3-(4-Acetylamino-phenoxy)-2-hydroxy-propyl]-isopropyl-ammonium,AY-21011,Eraldin,ICI-50172,Practolol",,
ncgc00181918-02,Iopanoic acid,"Iodopanoic acid,Iopanic acid,Iopanoic acid,Jopanoic acid,Telepaque",,
w-9 hydrochloride,Ornidazole,"NSC-95075,Ornidazole,RO-70207,RO-7-0207,Tiberal",,
BRD-K82092559,Oxprenolol,"Apsolox,BA-39089,Laracor,Oxprenolol,Oxprenolol HCl,Oxprenolol Hydrochloride,OXYPRENIX EXCEL 160,Paritane,Slow-PREN,Slow-Trasicor,Trasicor,Trasicor RET",,
BRD-K78930611,Reboxetine,"Edronax,FCE-20124,PNU-155950E,Reboxetine,Reboxetine Mesylate",,
deprenalin,Doxylamine,"Decapryn,Doxylamine,Doxylamine Succinate,Doxylamine Succinate Salt,Doxy-Sleep-Aid,NSC-74772,Unisom",,
2-bromo-n-[3-(propionylamino)phenyl]benzamide,Pentobarbital,"Beuthanasia,Euthanase,Euthatal,Mebubarbital,Mebumal,Nembutal,Nembutal Sodium,NSC-28708,Pentobarbital,Pentobarbital Calcium,Pentobarbital CII,Pentobarbital Sodium,Pentobarbitone Sodium,Sagatal,Sodium Pentobarbital",,
ncgc00184713-01,Metrizamide,"Amipaque,Metrizamide,WIN-39103",,
BRD-K29143967,Dipivefrin,"Akpro,Dipivalyl Epinephrine,Dipivefrin,Dipivefrine,Dipivefrine Hydrochloride,Dipivefrin HCl,Dipivefrin Hydrochloride,Dpe,Propine",,
np-004121,Citalopram,"[3H]-Citalopram,Celexa,Cipramil,Citalopram,Citalopram HBR,Citalopram Hydrobromide,LU 10-171-B,LU-10171B,LU-10-171-B,Paxoran",,
JNJ-38877605,Pioglitazone,"Actos,AD-4833,Diabiom,Duetact,Glidipion,Glizofar,Pioglitazone,Pioglitazone HCl,Pioglitazone Hydrochloride,STR-001,U-72107,U-72107A",,
PFI-1,Donepezil,"[14C]DONEPEZIL HCL,Aricept,Aricept Evess,Aricept ODT,Bnag,Donepezil,Donepezil HCl,Donepezil Hydrochloride,Donepezil Hydrochloride Monohydrate,E2020,E-2020",,
iniparib,Methylpromazine,"Alimemazine,Alimemazine Tartrate,Methylpromazine,Temaril,Trimeprazine,Trimeprazine Tartrate,Vallergan,Vallergan FTE",,
AT-7519,Ciprofibrate,"Ciprofibrate,Modalim,WIN-35833",,
GSK1059615,Meclizine,"Ancoloxin,Antivert,Duremesin,Meclizine,Meclizine Dihcl,Meclizine HCl,Meclizine Hydrochloride,Meclozine,Meclozine Dihydrochloride,Meclozine Hydrochloride,NSC-169189,SEA-LEGS,Traveleeze",,
JNK-IN-5A,Fenoldopam,"Corlopam,Fenoldopam,Fenoldopam Bromide,Fenoldopam Hydrochloride,Fenoldopam Mesilate,Fenoldopam Mesylate,Fenoldopam Methanesulfonate,SK-82526,SK-82526-J,SK&F-82526,SK&F-82526J",,
SYK-inhibitor,Venlafaxine,"Vexarin XL,Mentaven XL,Ranfaxine XL,Viepax XL,Foraven XL,Tifaxin XL,Efexor XL,Venlafaxine Hydrochloride,Venaxx XL,Trixat XL,Winfex XL,Venlaneo XL,Vaxalin XL,Venlalic XL,Depefex XL,Viepax,WY-45030,Efexor,Effexor XR,Venladex XL,Tardcaps XL,Vensir XL,Venlafaxine HCl,Politid XL,Bonilux XL,Venlafaxine,Amphero XL,Alventa XL,Rodomel XL,Venlablue XL,Effexor,Sunveniz XL,Tonpular XL",,
jlk 6,Econazole,"Econazole,Econazole Nitrate,Ecostatin,ECOSTATIN-1,Ecostatin Twin PACK,Ecoza,Gyno-Pevaryl,GYNO-PEVARYL 150,Gyno-pevaryl 1 cp pack,Gyno-Pevaryl ONCE,NSC-187789,NSC-243115,Pevaryl,R-14827,Spectazole,SQ-13050",,
su1498,Orphenadrine,"Biorphen,Disipal,Invagesic,Mefenamine,Norflex,Norgesic,Orphenadine Citrate,Orphenadrine,Orphenadrine Chloride,Orphenadrine (Chloride),Orphenadrine Citrate,Orphenadrine (Citrate),Orphenadrine HCl,Orphenadrine Hydrochloride,Orphengesic",,
diloxanide furoate,Primaquine,"NSC-149765,NSC-27296,Primachine Phosphate,Primaquine,Primaquine Diphosphate,Primaquine Phosphate,SN-13272,WR 2975,WR-2975",,
fu jmbii113b,Nimodipine,"BAY-E-9736,Nimodipine,Nimotop,Nymalize",,
TGX-221,SPECTRUM_001418,"DU-21220,Ritodrine,Ritodrine HCl,Ritodrine Hydrochloride,Yutopar",,
nifuroxazide,Quinethazone,"Chinethazone,Hydromox,Quinethazone",,
KIN001-244,Amisulpride,"Amisulpride,APD421,APD-421,DAN-2163,Solian,SOLIAN 100,SOLIAN 200,SOLIAN 400,SOLIAN 50",,
inhibitor bec hydrochloride,Metolazone,"Diulo,Metenix,Metolazone,Mykrox,SR-720-22,Xuret,Zaroxolyn",,
BRD-K45114207,Mirtazapine,"Mirtazapine,Mirtazepine,ORG-3770,Remeron,Remeron Soltab,Zispin",,
BRD-K75644678,Molindone,"EN-1733A,Moban,Molindone,Molindone HCl,Molindone Hydrochloride",,
ncgc00010428-03,Phenoxybenzamine,"Bensylyte HCl,Dibenyline,Dibenzyline,Phenoxybenzamine,Phenoxybenzamine Chloride,Phenoxybenzamine HCl,Phenoxybenzamine Hydrochloride",,
anpirtoline hydrochloride,Brompheniramine,"Bpn,Bromfed,Bromfenex,Brompheniramine,Brompheniramine Fumarate,(+)-Brompheniramine maleate,Brompheniramine Maleate,Dimegan,Dimetane,Dimetane-TEN,Dimetapp,Dimotane,Dimotane L.A.,Lodrane,Parabromdylamine Maleate",,
"r(-)-2,11-dihydroxy-methoxyaporphine",Articaine,"40045,40 045,40-045,Articaine,Articaine HCl,Articaine Hydrochloride,Carticaine,Carticaine Hydrochloride,HOE-045,HOE-40045,Septanest,Septocaine,Ultracaine",,
MK-1775,Tiaprofenic acid,"RU-15060,SURGAM 200,SURGAM 300,Surgam SA,Tiaprofenic acid",,
BRD-K99146421,Fexofenadine,"Allegra,Allegra Allergy,Allegra Hives,Children'S Allegra Allergy,Children'S Allegra Hives,Fexofenadine,Fexofenadine HCl,Fexofenadine Hydrochloride,Fexofenadine Hydrochloride Allergy,Fexofenadine Hydrochloride Hives,MDL-16455A,TELFAST 120,TELFAST 180,TELFAST 30",,
BMS-345541,Isoxsuprine,"Defencin,Duvadilan,Duvadilan RET,Isoxsuprine,Isoxsuprine HCl,Isoxsuprine Hydrochloride,Vasodilan",,
barasertib,Etodolac,"AY-24236,AY-24-236,Ebretin,Etodolac,Etodolic acid,Etolyn,Etopan XL,Lodine,Lodine SR,Lodine XL,NIH-9918,NSC-282126,Ramodar",,
BRD-K83336168,Homatropine,"DL-Homatropine Hydrobromide,Homatropine,Homatropine Hydrobromide,Homatropine Hydrobromide (R\,S),Isopto Homatropine",,
NVP-BEZ235,Cyclopentolate,"Akpentolate,AK-Pentolate,Alnide,Cyclogyl,Cyclopentolate,Cyclopentolate HCl,Cyclopentolate Hydrochloride,Mydrilate,Pentolair",,
dabrafenib,Dobutamine,"46236,COMPOUND 81929,COMPOUND-81929,Dobutamine,Dobutamine HCl,Dobutamine Hydrochloride,Dobutrex,NSC-299583,Posiject",,
XMD-1499,Tropicamide,"Mydriacyl,Mydriafair,Nods,RO-1-7683,Tropicacyl,Tropicamide",,
WZ-7043,Midodrine,"A-4020 LINZ,Bramox,Gutron,Midodrine,Midodrine HCl,Midodrine Hydrochloride,Midon,Orvaten,Proamatine,Pro-Amatine,ST 1085,ST-1085,ST-1085 [AS THE BASE],ST-1085 BASE,ST 1085 HYDROCHLORIDE,ST-1085 HYDROCHLORIDE,ST-PETER-224,ST. PETER 224",,
IOX2,Bendroflumethiazide,"Aprinox,Bendrofluazide,Bendroflumethiazide,Bendrofumethiazide,Benzydroflumethiazide,Berkozide,Centyl,Naturetin,NATURETIN-10,NATURETIN-2.5,NATURETIN-5,NEO-BENDROMAX 2.5,NEO-BENDROMAX 5,Neo-Naclex,Urizide",,
s6005,Mephenytoin,"Mephenytoin,Mesantoin,Methoin",,
BRD-A84909344,Thioridazine,"Mellaril,Mellaril-S,Melleril,Rideril,Thioridazine,Thioridazine HCl,Thioridazine Hydrochloride,Thioridazine Hydrochloride Intensol,TP-21",,
ncgc00188537-01,Nadolol,"Corgard,Nadolol,Solgol,SQ-11725",,
PF-431396,Bisoprolol,"Monocor,Concor,Soloc,EMD-33512,Soprol,Emcor LS,Emcor,Cardicor,Bisoprolol Fumarate,Bipranix,(?)-Bisoprolol hemifumarate,CL-297939,Bisoprolol Hemifumarate,Congescor,Bisoprolol,Zebeta,Ziac,EMD-33-512,Vivacor,Isoten Mitis",,
trolox,Isradipine,"Dynacirc,Dynacirc CR,Isradipine,Isrodipine,PN-200-110,Prescal",,
gr-207,Chloroquine,"Aralen,Aralen HCl,Avloclor,Chlorochine,Chloroquine,CHLOROQUINE [3H],Chloroquine Diphosphate,Chloroquine HCl,Chloroquine Phosphate,Chloroquine Sulfate,Chloroquine Sulphate,Malarivon,NSC-14050,NSC-187208,NSC-292296,SN-7618,WR-1522",,
GDC-0980,Metaxalone,"AHR-438,Metaxalone,NSC-170959,Skelaxin",,
psh 008,Indapamide,"Cardide SR,Ethibide XL,Indapamide,INDAXA 2.5,Indipam XL,KYD-041,Lozol,Mapemid XL,Natrilix,Natrilix SR,NINDAXA 2.5,OPUMIDE 2.5,Rawel XL,S-1520,SE-1520,Tensaid XL,Varbim XL",,
dovitinib,Sertaconazole,"Demofix,Dermofix,Ertaczo,FI-7045,FI 7056,FI-7056,Sertaconazole,Sertaconazole Nitrate",,
jas07 005,Betaxolol,"ALO-1401-02,ALO-140102 FREE BASE,Betaxolol,Betaxolol HCl,Betaxolol Hydrochloride,Betoptic,Betoptic S,Betoptic SUSP,Kerledex,Kerlone,SL 75.212-10,SL-75212-10,SL-7521210 FREE BASE",,
BRD-K80094086,Benzthiazide,,,
